epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8945,1.50672,2.68772,1.73285,0.00556,1,0.53505,0.30184,0.98211,2.92093,1.45798,6e-05,6e-05,6e-05
2,32.6178,1.43912,2.43368,1.6908,0.00556,1,0.62729,0.40591,0.89356,2.91204,1.39831,0.000138614,0.000138614,0.000138614
3,48.25,1.45142,2.20425,1.69985,0.00556,1,0.56129,0.29898,1.0368,2.8229,1.52371,0.000215644,0.000215644,0.000215644
4,63.4762,1.45865,1.79472,1.6309,0.01982,1,0.60378,0.34237,1.16185,2.83674,1.60039,0.00029109,0.00029109,0.00029109
5,78.8641,1.39392,1.6633,1.59625,0.00556,1,0.59314,0.35924,1.2756,2.80472,1.75891,0.000364952,0.000364952,0.000364952
6,94.3554,1.48006,1.7499,1.6805,0.23812,0.84,0.62414,0.40895,1.2185,2.67834,1.68874,0.00043723,0.00043723,0.00043723
7,110.953,1.41342,1.71618,1.53755,0.77715,0.27909,0.61888,0.32803,1.38765,2.71014,1.9399,0.000507924,0.000507924,0.000507924
8,128.133,1.4421,1.60723,1.59277,0.66579,0.32,0.57934,0.2957,1.485,2.63805,2.03667,0.000577034,0.000577034,0.000577034
9,144.246,1.40499,1.60663,1.62845,0.73857,0.44,0.60962,0.32825,1.58937,2.47067,2.19886,0.00064456,0.00064456,0.00064456
10,159.589,1.32896,1.59071,1.60274,0.54339,0.52,0.57626,0.25505,1.62664,2.4091,2.26984,0.000710502,0.000710502,0.000710502
11,175.858,1.3085,1.41739,1.50689,0.61454,0.51054,0.5603,0.31339,1.51432,2.35603,1.95837,0.00077486,0.00077486,0.00077486
12,193.398,1.54909,1.65058,1.77507,0.62876,0.6,0.73808,0.41746,1.49088,2.14963,1.93971,0.000837634,0.000837634,0.000837634
13,209.171,1.31835,1.41576,1.5188,0.62431,0.66508,0.64289,0.28892,1.60307,2.31747,2.22511,0.000898824,0.000898824,0.000898824
14,224.345,1.47806,1.91258,1.83133,0.4778,0.58588,0.48587,0.21124,1.89237,2.39825,2.59489,0.00095843,0.00095843,0.00095843
15,239.757,1.26168,1.44192,1.45255,0.6356,0.55823,0.52974,0.19542,1.85217,2.37369,2.40482,0.00101645,0.00101645,0.00101645
16,254.879,1.28094,1.44206,1.51808,0.52137,0.44,0.43967,0.18858,2.12612,2.45604,2.70204,0.00107289,0.00107289,0.00107289
17,271.627,1.37672,1.49789,1.58355,0.41186,0.28,0.24772,0.10753,2.20939,3.10007,2.87676,0.00112774,0.00112774,0.00112774
18,288.205,1.49146,1.63544,1.78827,0.29506,0.28,0.20165,0.09404,2.25799,3.75167,2.62382,0.00118101,0.00118101,0.00118101
19,304.699,1.37595,1.48292,1.54649,0.26834,0.4,0.28161,0.11076,1.93047,2.97158,2.36269,0.0012327,0.0012327,0.0012327
20,321.304,1.26258,1.42622,1.53598,0.61243,0.36,0.43149,0.21958,1.67257,2.66949,2.12419,0.0012828,0.0012828,0.0012828
21,338.128,1.43071,1.7553,1.71243,0.33098,0.6,0.31472,0.12849,1.88284,2.47674,2.4905,0.00133132,0.00133132,0.00133132
22,354.057,1.48854,1.63496,1.64667,0.27081,0.47546,0.237,0.08088,1.9502,2.5785,2.48853,0.00137825,0.00137825,0.00137825
23,369.767,1.43623,1.58591,1.56604,0.18463,0.56,0.18157,0.05809,2.15672,2.77866,2.70416,0.0014236,0.0014236,0.0014236
24,385.841,1.40026,1.49642,1.54059,0.40526,0.44,0.30681,0.11632,2.16859,2.53604,2.63712,0.00146737,0.00146737,0.00146737
25,402.675,1.27089,1.29796,1.55841,0.60445,0.36,0.3915,0.15984,2.32315,2.36223,2.82092,0.00150955,0.00150955,0.00150955
26,419.663,1.36851,1.43953,1.51014,0.35722,0.4671,0.3927,0.14804,2.16638,2.49449,2.77194,0.001505,0.001505,0.001505
27,435.65,1.29484,1.39578,1.56427,0.40878,0.41522,0.28968,0.10314,2.11441,2.55343,2.6647,0.0014852,0.0014852,0.0014852
28,451.738,1.2238,1.23231,1.47001,0.55342,0.49612,0.57607,0.21014,2.06142,2.27557,2.71282,0.0014654,0.0014654,0.0014654
